"University of California, Riverside",UC Riverside is the nation’s leader for social mobility with a diverse & inclusive community pioneering research with impacts around the globe.,https://www.ucr.edu/
Privacy Statement," Last Revision Date: — May 5, 2023   Privacy Stance  The University of California (UC) system and the University of California, Riverside (UCR) respects the privacy of individuals. Privacy plays an important role in human dignity and is necessary for an ethical and respectful workplace. The right to privacy is declared in the California Constitution. Thus, the University continually strives for an appropriate balance between:",https://www.ucr.edu/privacy.html
Terms and Conditions of Use,"Please Read These Terms and Conditions of Use Carefully Before Using This Site By using this site and all other registered UCR web sites, referred to as ""these sites"", you agree to these terms of use. If you do not agree to these terms of use, please do not use this site.",https://www.ucr.edu/terms.html
Giving,"Make a gift to UC Riverside! An education changes everything. As part of your charitable donations, you can support the education of students at America’s most transformational public university.",https://giving.ucr.edu/
First Year,UC Riverside is ready to help you turn your passion into purpose. Our award-winning faculty will mentor you. Our diverse campus community will embrace you. And our first-year-specific resources will help you build your future!,https://admissions.ucr.edu/firstyear
Out-of-State,"UCR believes that out-of-state students add an important and valuable depth to our campus. Our award-winning faculty will mentor you. Our diverse campus community will embrace you. And our dedicated resources will help you build your future! Sunny Southern California invites you to make the University of California, Riverside your home away from home.",https://admissions.ucr.edu/out-of-state
SIR Today!,This page will be the new launch for the My.UCR.edu log-in.  ,https://iam.ucr.edu/sir
Frequently Asked Questions,"Frequently asked questions about the application process and admission to UCR can be found here, along with helpful answers that explain the different stages and important components of becoming and being a UCR student. Find answers now!",https://admissions.ucr.edu/myucr
Underground Scholars Initiative,"Riverside Underground Scholars Building a Prison-to-University Pipeline   Riverside Underground Scholars (RUS) is an academic support program for incarcerated, formerly incarcerated, and system-impacted students. In addition, it creates a pathway for incarcerated, formerly incarcerated, and system-impacted individuals into higher education by building a prison-to-school pipeline through recruitment, retention, and advocacy.   We directly challenge the stigmas associated with our community.",https://diversity.ucr.edu/underground-scholars-initiative
Ways to Give,"With your support, UC Riverside can continue its upward momentum, improving education an",https://giving.ucr.edu/ways-give
Get Involved, ,https://diversity.ucr.edu/get-involved
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https://admissions.ucr.edu/blog
Latina/Chicana Staff & Faculty Group (LCSFG),"  Mission To promote a strong Latina/Chicana network and community at UC Riverside. Develop awareness and positive engagement among Staff and Faculty; Share professional development and leadership opportunities. Serve as a network and communications channel among Latina and Chicana women employees at UCR. Founding Members: Jeannette Ordonez, Ana Coria, Marlenee Blas and Cristina Otegui.",https://diversity.ucr.edu/lcsfg
Disability Network,"  The University of California Riverside Disability Network was established in 2021 to build a community of people with disabilities and their allies and increase awareness of issues related to disabilities, especially in professional settings. The mission of UCR Disability Network is to provide advocacy and informational resources as well as to cultivate the disability community through engagement, mentorship, and peer support. ",https://diversity.ucr.edu/disability-network
Chancellor's MEI Diversity Certificate Program,"Chancellor's Making Excellence Inclusive Program: Staff and Faculty Diversity Certification The eight-month ""Making Excellence Inclusive (MEI) Diversity Certificate Program"" will guide participants through a series of learning activities designed to emphasize the commitment to diversity and inclusion as a core value in an increasingly diverse campus environment.",https://diversity.ucr.edu/mei
Contact Us,"Questions or Comments For general questions or comments, please contact us at ucralum@ucr.edu, call (951) 827-2586 (UCR-ALUM), or view our FAQs page. Street Address 3701 Canyon Crest Dr. Riverside, CA 92507 Mailing address  2203 Alumni & Visitors Center 900 University Ave. Riverside, CA 92521-0110  ",https://alumni.ucr.edu/contact-us
Notable Alumni,"40 Under 40, UCR Launches Search for Innovative, Early-Career Alumni UCR's top-ranking education has given rise to a community of Highlander Alumni with exceptional career success, well-deserved accolades, and extraordinary achievements. The university has developed this new alumni recognition program to celebrate bold, industry-leading individuals working to change the world. The inaugural list will feature 40 of our exceptional alumni under the age of 40 and will be included in a special feature in the UCR Magazine issue for spring 2022.",https://alumni.ucr.edu/notable-alumni
Tips for Writing a Successful Application to UC Riverside,"Learn tips for completing the application, answering your personal insight questions, and proving you’ve got the potential to be a future Highlander.",https://admissions.ucr.edu/blog/2022/09/19/tips-writing-successful-application-uc-riverside
Countdown to Commencement 2023,"For the first time ever, the University of California, Riverside’s class of 2023 will commence at one of two locations. Graduates will either walk across an on-campus stage at the Student Recreation Center or an off-campus stage at Toyota Arena. The latter was announced during the fall in response to graduates’ needs for air conditioning, more guest tickets, and better viewpoints of the ceremony, among other enhancements.",https://news.ucr.edu/articles/2023/05/17/countdown-commencement-2023
About UCR Alumni Association,"Mission The UCR Alumni Association (UCRAA) serves to preserve and promote the relationships between UCR and all its alumni. Through its various services and programs, the Association represents alumni and assists the University in its quest for excellence.  ",https://alumni.ucr.edu/about-ucr-alumni-association
Care Packages for Students,Parents send their students to the university in hopes their student will feel a part of the campus. We want you to know we are just as invested in providing your student with a strong sense of support.,https://alumni.ucr.edu/care-packages-students
MEI Sample Project: Mentoring,"Successful Mentoring for a Diverse Workplace   A Program for Supervisors to Support the Retention of a Diverse Staff at UCR. UCR is committed to recruiting, welcoming, supporting and retaining a diverse staff. Evidence collected from the UCR staff climate surveys, focus groups and working groups from 2006 to 2008 demonstrated a desire on the part of staff for increased mentoring and career development.",https://diversity.ucr.edu/mei-sample-project-mentoring
Resources,Resources for Your Student Your student’s experience is important to the university. Help your student get connected with the resources provided by the campus.,https://parents.ucr.edu/resources
Frequent Asked Questions,"Would you like to know how to get involved with UCR, want to connect with fellow Highlanders in your area, or have questions about career services or membership–here’s a list of our most frequently asked questions. If you do not find the answer to your question listed within our FAQs, please contact us at 951-827-2586 or ucralum@ucr.edu.",https://alumni.ucr.edu/frequent-asked-questions
MEI Sample Project: LEAD,Cultivating a Community of Respect  ,https://diversity.ucr.edu/mei-sample-project-lead
Alumni Awards of Distinction,"ALUMNI AWARDS OF DISTINCTION Since 1986, the UCR Alumni Association has honored gr",https://alumni.ucr.edu/alumni-awards-distinction
MEI Sample Project: Hiring,"Cultivating a Community of Respect Hiring Manager’s Guidelines and Promising Practices on Recruiting The 2016-2017 “Making Excellence Inclusive” certificate program was organized around the theme “cultivating a community of respect.” With this theme in mind, our workgroup was tasked with addressing diversity and inclusion issues related to the hiring manager and making recommendations for promising practices around the hiring process.",https://diversity.ucr.edu/mei-sample-project-hiring
UCR Helping Puentistas Get Ready to Transfer This Summer,"Held twice weekly throughout May and June, the Puente Connection Summer Series features webinars and networking events for community college students who are ready to transfer to a UC.",https://admissions.ucr.edu/blog/2021/05/17/ucr-helping-puentistas-get-ready-transfer-summer
Virtual village can empower vulnerable groups of people,UC Riverside-led study focused on older people living with HIV during the pandemic,https://news.ucr.edu/articles/2023/05/24/virtual-village-can-empower-vulnerable-groups-people
Transfer to UCR in Winter 2022 — Apply July 1–31,Students can transfer to UC Riverside for winter 2022 by submitting an application from July 1–31.,https://admissions.ucr.edu/blog/2021/06/04/transfer-ucr-winter-2022-apply-july-1-31
On-Campus Housing Still Available for Fall 2021!,Attention Incoming Students: On-campus housing is filling up fast! Submit your Housing Contract right away. Experience on-campus living as close to pre-pandemic “normal” conditions as possible.,https://admissions.ucr.edu/blog/2021/06/15/campus-housing-still-available-fall-2021
Available Feeds,The following list are UCR's available feeds. These are RSS (Really Simple Syndication) feeds that allow for sharing and distributing web content. Readers can subscribe to our feeds.,https://news.ucr.edu/feeds
UCR Alumni Association Board of Directors,"  The UCR Alumni Association Board of Directors is a dedicated group of volunteers that establish Association policy, review programs, and provide feedback and suggestions to the University administration. Officers 2022-2024 Steve Shuman ’75 President Josefina Canchola ’88 President Elect",https://alumni.ucr.edu/ucr-alumni-association-board-directors
Transfer Students: Say “Yes” to UCR by June 1,Admitted transfer students have until June 1 to say “yes” to UCR for fall 2021 and submit their Statement of Intent to Register (SIR).,https://admissions.ucr.edu/blog/2021/05/13/transfer-students-say-yes-ucr-june-1
Get Your MyUCR Account Ready for Fall 2021 Admission Notifications,Follow these steps to get your MyUCR account ready for fall 2021 admission notifications (beginning early March).,https://admissions.ucr.edu/blog/2021/02/26/get-your-myucr-account-ready-fall-2021-admission-notifications
